trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-34.36311660735956,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,11,-8.892569438382507,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,11,-128.51854430879197,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 3}",1
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-207.3770603561394,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-31.18699079514268,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-186.69572934181443,"{0: 19, 1: 4, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-100.76158024872493,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",30,0,-71.17762139609394,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-28.42855712025012,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-159.8438687253208,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-129.84773313110102,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-77.91597595278806,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-80.2417282519369,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-97.04201716851568,"{0: 19, 1: 1, 2: 8, 3: 2, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-64.86883801661926,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-175.92927590820508,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-139.91127829463545,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-167.06278309066855,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-99.3539301864364,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
