trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-116.18026394229682,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5403023058681398}",20,0,9.15491884174672,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.0707372016677029}",30,13,23.65591381745705,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.4161468365471424}",20,4,15.191226131526248,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.8011436155469337}",30,0,-74.66783792135857,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9899924966004454}",35,0,-147.15295557026477,"{0: 24, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9364566872907963}",25,0,-88.33085453829221,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6536436208636119}",20,0,-54.23345719101104,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.21079579943077972}",25,8,26.93632168528956,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.2836621854632263}",25,13,14.958362485282121,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.70866977429126}",25,13,8.474492170159461,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9601702866503661}",20,0,-32.10781914992683,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9765876257280235}",20,3,-73.51798556490871,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.7539022543433046}",20,0,-121.49526020924597,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
