trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.76225305923188,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.29996326683727,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,6,-39.42388867842467,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.40729866259821,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.47450972198146,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.22904670733878,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.95767247786187,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.81553053435843,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.99521330265662,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.40538505014563,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.823356505721,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.42660430664932,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.74870830634318,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,12,-37.311277955407434,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,6,-21.972132906317388,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.237133558866546,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,12,-55.3368216344127,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.3896524016243,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.54324321399378,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-112.96977694083114,"{0: 27, 1: 2, 2: 3, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,7,-64.36006506373519,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.20259926247869,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-262.5806442045343,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 5}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,1,-171.32089043489728,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 2}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-70.67059520617593,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.76153639481844,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.1485400187622,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.73721805363905,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-205.02678028091668,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.50437592706973,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
